4,L_180.00_20_5000,L_180.00_30_7000,L_180.00_30_9000,L_180.00_30_20000,
tsp_instance1,232872.346298,232429.358260,232358.736527,232554.093490,
tsp_instance2,234335.320782,235452.109006,233564.858711,234280.055951,
tsp_instance3,232517.819636,233419.734910,232658.264453,232854.407154,
tsp_instance4,228143.994048,227887.859986,228295.393101,228612.925012,
tsp_instance5,233755.257307,234486.217634,234730.973868,233645.932450,
tsp_instance6,232899.662319,232652.963389,233208.168846,233310.277777,
tsp_instance7,229025.016272,228657.029391,228792.414868,228596.054990,
tsp_instance8,232727.968786,232429.881623,232912.917970,233255.570322,
tsp_instance9,235221.632316,236571.185249,235307.877735,236035.032864,
tsp_instance10,234274.749083,233406.392084,232873.859349,233142.903820,